bookkeeping,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,markup_description,name,newick,pk,status
False,0,0,0,,21,17799,aol,alor1247,{},-8.20382,language,124.264,,Alorese,'Alorese [alor1247][aol]-l-':1,19590,safe
False,0,0,0,,193,1329,syy,alsa1242,{},,language,,,Al-Sayyid Bedouin Sign Language,'Al-Sayyid Bedouin Sign Language [alsa1242][syy]-l-':1,2575,safe
False,2,0,0,,,,aes,alse1251,{},44.408,language,-123.94,,Alsea-Yaquina,"('Alsea [alse1252]':1,'Yaquina [yaqu1250]':1)'Alsea-Yaquina [alse1251][aes]-l-':1",210,extinct
False,0,0,0,,151,16467,aub,alug1235,{},23.0,language,103.0,,Alugu,'Alugu [alug1235][aub]-l-':1,18458,safe
False,0,0,0,,355,9375,xua,aluk1238,{},11.3456,language,76.7995,,Alu Kurumba,'Alu Kurumba [aluk1238][xua]-l-':1,12095,safe
False,2,0,0,,10,10035,aab,alum1246,{},9.01513,language,8.55956,,Alumu-Tesu,"('Alumu [alum1247]':1,'Tesu [tesu1244]':1)'Alumu-Tesu [alum1246][aab]-l-':1",12709,safe
False,5,0,0,,21,20916,alp,alun1238,{},-3.11477,language,128.394,,Alune,"('Central East Alune [cent2077]':1,'Central West Alune [cent2078]':1,'Kairatu [kair1264]':1,'North Coastal Alune [nort2866]':1,'South Alune [sout2893]':1)'Alune [alun1238][alp]-l-':1",21871,vulnerable
False,0,0,0,,151,16477,yna,aluo1235,{},26.0,language,102.0,,Aluo,'Aluo [aluo1235][yna]-l-':1,18476,definitely endangered
False,4,0,0,,429,7416,alz,alur1250,{},2.36213,language,31.0016,,Alur,"('Jokot [joko1238]':1,'Jonam [jona1239]':1,'Mambisa [mamb1303]':1,'Wanyoro [wany1245]':1)'Alur [alur1250][alz]-l-':1",9848,safe
False,3,0,0,,117,776,alr,alut1245,{},60.3844,language,165.653,,Alutor,"('Alutorskij [alut1246]':1,'Karaginskij [kara1472]':1,'Palanskij [pala1340]':1)'Alutor [alut1245][alr]-l-':1",2277,severely endangered
False,2,0,0,,89,16362,avd,alvi1241,{},35.0075,language,50.3794,,Alviri-Vidari,"('Alvir [alvi1242]':1,'Vidar [vida1238]':1)'Alviri-Vidari [alvi1241][avd]-l-':1",18372,definitely endangered
False,0,0,0,,66,3823,aly,alya1239,{},-21.0427,language,136.835,,Alyawarr,'Alyawarr [alya1239][aly]-l-':1,5786,safe
False,3,0,0,,21,23041,amq,amah1245,{},-3.32028,language,128.939,,Amahai,"('Makariki [maka1308]':1,'Rutah [ruta1241]':1,'Soahuku [soah1237]':1)'Amahai [amah1245][amq]-l-':1",23147,critically endangered
False,2,0,0,,16,5318,amc,amah1246,{},-10.2012,language,-72.3208,,Amahuaca,"('Inuvaken [inuv1238]':1,'Viwivakeu [viwi1238]':1)'Amahuaca [amah1246][amc]-l-':1",7767,severely endangered
False,0,0,0,,50,2032,ali,amai1246,{},-5.18742,language,145.368,,Amaimon,'Amaimon [amai1246][ali]-l-':1,3679,safe
False,0,0,0,,142,142,aad,amal1242,{},-4.04517,language,141.995,,Amal,'Amal [amal1242][aad]-l-':1,1218,safe
False,0,0,0,,430,1859,NOCODE_Amam,amam1246,{},,language,,,Amam,'Amam [amam1246]-l-':1,3413,safe
False,0,0,0,,193,1329,NOCODE_Amami-Sign,amam1247,{},,language,,,Amami O Shima Sign Language,'Amami O Shima Sign Language [amam1247]-l-':1,2579,safe
False,0,0,0,,317,1555,amn,aman1265,{},-3.51516,language,141.178,,Amanab,'Amanab [aman1265][amn]-l-':1,2927,safe
False,0,0,0,,298,9295,ama,aman1266,{},-3.79772,language,-48.6613,,Amanayé,'Amanayé [aman1266][ama]-l-':1,12051,extinct
False,0,0,0,,25,470,amm,amap1240,{},-4.20192,language,141.658,,Ama (Papua New Guinea),'Ama {Papua New Guinea} [amap1240][amm]-l-':1,1958,safe
True,0,0,0,,120,120,,amap1241,{},,language,,,Amapá Creole,'Amapá Creole [amap1241][amd]-l-':1,977,safe
False,0,0,0,,222,222,amg,amar1271,{},-11.9876,language,132.878,,Amurdak,'Amurdak [amar1271][amg]-l-':1,1385,safe
False,0,0,0,,21,19388,aie,amar1272,{},-5.55778,language,148.68,,Amara,'Amara [amar1272][aie]-l-':1,20754,safe
False,4,0,0,,21,13142,aaz,amar1273,{},-10.21751,language,123.96373,,Amarasi,"('Kotos [koto1251]':1,'Ro'is [rois1241]':1,'Ro'is Hero [rois1243]':1,'Ro'is Tais Nonof [rois1242]':1)'Amarasi [amar1273][aaz]-l-':1",15747,safe
False,1,0,0,,112,112,amr,amar1274,{},-12.4931,language,-70.5533,,Amarakaeri,('Kisambaeri [kisa1267]':1)'Amarakaeri [amar1274][amr]-l-':1,765,definitely endangered
False,0,0,0,,206,206,nyi,amas1236,{},12.0993,language,29.4332,,Ama (Sudan),'Ama {Sudan} [amas1236][nyi]-l-':1,1355,safe
False,0,0,0,,383,15019,zpo,amat1238,{},16.2707,language,-96.4003,,Amatlán Zapotec,'Amatlán Zapotec [amat1238][zpo]-l-':1,16966,safe
False,3,0,0,,10,15459,rwm,amba1263,{},0.81206,language,30.0014,,Amba (Uganda),"('Kigumu [kigu1238]':1,'Kyanzi [kyan1239]':1,'Suwa [suwa1240]':1)'Amba {Uganda} [amba1263][rwm]-l-':1",17368,vulnerable
False,3,0,0,,21,19293,amk,amba1265,{},-1.88126,language,136.526,,Ambai,"('Manawi [mana1293]':1,'Nuclear Ambai [nucl1466]':1,'Randawaya [rand1239]':1)'Ambai [amba1265][amk]-l-':1",20619,safe
False,0,0,0,,21,15707,utp,amba1266,{},-11.2958,language,166.498,,Amba (Solomon Islands),'Amba {Solomon Islands} [amba1266][utp]-l-':1,17730,safe
False,0,0,0,,21,5335,abc,amba1267,{},14.8156,language,120.283,,Ambala Ayta,'Ambala Ayta [amba1267][abc]-l-':1,7803,safe
False,2,0,0,,264,264,aew,amba1269,{},-4.23181,language,144.285,,Ambakich,"('Northern Ambakich [nort2931]':1,'Southern Ambakich [sout2951]':1)'Ambakich [amba1269][aew]-l-':1",1466,safe
